text,
Murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,isi ini ya ges (positive/neutral/negative)
Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,isi ini ya ges (positive/neutral/negative)
Klo dp1jt tanpa kartu kredit bisa gk? Brp bln pembayarannya dan sebulannya brp? -TerimaKsh,isi ini ya ges (positive/neutral/negative)
untuk pemasangan di tembok apa ad pihak dari lazada yg memasang'a ? terima kasih,isi ini ya ges (positive/neutral/negative)
"Kapasitas HDD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",isi ini ya ges (positive/neutral/negative)
barang sesuai dengan gambar,isi ini ya ges (positive/neutral/negative)
"HD diterima dg packing bubble bagus, hanya tidak tertulis, barang elektronik, atw keterangan lain, agar penanganan lebih hati2 dan istimewa, ketika paket dalam perjalanan. Finally, 4bintang lhah...",isi ini ya ges (positive/neutral/negative)
"Mantap gan Barang sampai dengan selamat , Packing rapih , pokok Mantap lah !",isi ini ya ges (positive/neutral/negative)
Oke,isi ini ya ges (positive/neutral/negative)
"Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng",isi ini ya ges (positive/neutral/negative)
Barang diterima dengan kondisi yang baik tapi packagingnya kurang,isi ini ya ges (positive/neutral/negative)
"Suka banget sama barangnya packing nya rapi, pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini",isi ini ya ges (positive/neutral/negative)
"Flashdisk ori, Packing bagus. Saya suka.Thx",isi ini ya ges (positive/neutral/negative)
aman cepat pula,isi ini ya ges (positive/neutral/negative)
Bagus ori kok cuma hanya aja 58 gb:( klo 63 gpp hilang 1 gb,isi ini ya ges (positive/neutral/negative)
kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,isi ini ya ges (positive/neutral/negative)
"Baguss bangett kurir nya jga ramah, cakep pula wkwk. Ini 64gb tp cmn 58 sekian gb tp gpp lah yah... Pokok nya recomended deh....",isi ini ya ges (positive/neutral/negative)
produk dah sampai kemasan rapih pengiriman cepat barang  bagus pembayaran cod tidak perlu diragukan lagi 👍👍,isi ini ya ges (positive/neutral/negative)
barangnya bagus banget.. sesuai dengan gambar dn deskripsi.. pengiriman cepat.. bagus dn recomended bangt..👍,isi ini ya ges (positive/neutral/negative)
"packing tanpa bubble warp. fisik no minus. Cuma 58 GB, bukan 64. ya lumayan",isi ini ya ges (positive/neutral/negative)
barang ok .. packing Rapii .. Kurir nya Ramahh .. Puass ..,isi ini ya ges (positive/neutral/negative)
produk original mantap semoga awet,isi ini ya ges (positive/neutral/negative)
baik. sesuai ekspektasi.,isi ini ya ges (positive/neutral/negative)
👍👍👍,isi ini ya ges (positive/neutral/negative)
Barang nya oke makasih,isi ini ya ges (positive/neutral/negative)
Tumben ninja cepat pengirimannya,isi ini ya ges (positive/neutral/negative)
barang asli dan original terimakasih maju terus toko jet store,isi ini ya ges (positive/neutral/negative)
"Flashdisk nya bagus, sesuai picture, barang cepat sampai, kurir ramah",isi ini ya ges (positive/neutral/negative)
oke... mudah2an awet dan ga crash belum sempet d coba,isi ini ya ges (positive/neutral/negative)
kapasitas cumA 58 gb ajaaaaa....  huft...,isi ini ya ges (positive/neutral/negative)
katanya 64 GB nyatanya cuman 58 GB,isi ini ya ges (positive/neutral/negative)
"thks ya barang sdh sampai,smga cocok",isi ini ya ges (positive/neutral/negative)
siippp...thank lazada,isi ini ya ges (positive/neutral/negative)
udah di trima ...barang OK Moga awet...,isi ini ya ges (positive/neutral/negative)
josss tenan,isi ini ya ges (positive/neutral/negative)
"Ini ori, bagus tahan lama masih saya pake",isi ini ya ges (positive/neutral/negative)
kampret kaga kebaca!!,isi ini ya ges (positive/neutral/negative)
barang bagus quick respon hari ini pesan besok sudah sampai,isi ini ya ges (positive/neutral/negative)
brang cukup bagus,isi ini ya ges (positive/neutral/negative)
Sip mantap,isi ini ya ges (positive/neutral/negative)
bagus ori!,isi ini ya ges (positive/neutral/negative)
real good,isi ini ya ges (positive/neutral/negative)
bagus,isi ini ya ges (positive/neutral/negative)
good,isi ini ya ges (positive/neutral/negative)
"pengiriman sangat lama, tgl 19 di pesan, tgl 22 barang baru dikemas, tgl 23 baru diambil ekspedisi, tgl 25 baru sampai. Masih dijabotabek tapi lama.",isi ini ya ges (positive/neutral/negative)
"barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",isi ini ya ges (positive/neutral/negative)
"Barang diterima pada hari akhir yg dijadwalkan, yaitu malam hari. Kondisi barang terlindungi dengan packing bawaan unit.  Kualitas unit adalah kualitas Sharp. Semoga awet. Bila unit ini dikirim dari gudang Lazada di Bogor, mestinya bisa lebih cpt tiba, bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di Bogor.",isi ini ya ges (positive/neutral/negative)
masukan saja.. klo bisa packingnya jangan asal.. dikasih buble wrap minimal.. ini cuma dipacking pakai plastik biasa.. sempet khawatir pecah.. tpi untung gk terjadi . ..,isi ini ya ges (positive/neutral/negative)
pesanan sesuai dgn yg di gambar .....skrg sy lg coba smoga awet...,isi ini ya ges (positive/neutral/negative)
Pengiriman tidak sesuai tanggal yang tertera,isi ini ya ges (positive/neutral/negative)
sesuai... no tipu2,isi ini ya ges (positive/neutral/negative)
barang ok packing rapih,isi ini ya ges (positive/neutral/negative)
"Barangnya sampai dengan cepat, bagus, terimakasih lazada.",isi ini ya ges (positive/neutral/negative)
"pengiriman cepat packirng rapih harga murah, free ongkir",isi ini ya ges (positive/neutral/negative)
mantapp barang nya sesuai pesanan,isi ini ya ges (positive/neutral/negative)
Jangan pernah beli disini..parah banget..barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll..,isi ini ya ges (positive/neutral/negative)
hati hati ini tv ga bisa pake USB,isi ini ya ges (positive/neutral/negative)
puas,isi ini ya ges (positive/neutral/negative)
puas,isi ini ya ges (positive/neutral/negative)
mantap,isi ini ya ges (positive/neutral/negative)
mantap,isi ini ya ges (positive/neutral/negative)
Sangat puas dengan produknya. Terimakasih..,isi ini ya ges (positive/neutral/negative)
"Memuaskan, produk sesuai deskripsi, packing bagus, dan penerimaan produk cepat untuk saya yg berada di jkt",isi ini ya ges (positive/neutral/negative)
"Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu",isi ini ya ges (positive/neutral/negative)
Ini spek ram.nya 2GB atau 4GB,isi ini ya ges (positive/neutral/negative)
"GAN SAYA SARANKAN UNTUK LEBIH BERHATI-HATI DALAM MEMBELI, FLASHDISK YANG DIKIRIM KE SAYA ADALAH FLASHDISK REKONDISI (DAUR ULANG BEKAS).  JANGAN TERTIPU OLEH HARGA. MAS DOSA MAS BOHONG. DI FLASHDISKNYA ADA TULISAN NAMA ""ARYO"" YANG SENGAJA DIHAPUS TP KURANG BERSIH. FILE YANG DIKIRIM KE FLASHDISK JUGA ERROR. MAKAN DUIT HARAM MAS. KENYANG TP GA BERKAH.",isi ini ya ges (positive/neutral/negative)
"Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt.",isi ini ya ges (positive/neutral/negative)
Palsu,isi ini ya ges (positive/neutral/negative)
VERY GOOD,isi ini ya ges (positive/neutral/negative)
"korup terus klo di copy ke fd,mengecewakan",isi ini ya ges (positive/neutral/negative)
"hardisknya keren, pelindungnya kokoh , udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada",isi ini ya ges (positive/neutral/negative)
"Sampainya agak lama tapi puas, packing rapi dan pas dateng warnanya biru seneng banget gan hehe. Top deh semoga awet barangnya",isi ini ya ges (positive/neutral/negative)
"Trims Lazada & reseller, , barang sdh saya terima senin siang, penigiriman sesuai dengan yg di informasikan.",isi ini ya ges (positive/neutral/negative)
sesuai spek yg saya mau.. jd oke lah,isi ini ya ges (positive/neutral/negative)
barangnya bagus.  rapi tidak mengecewakan.  akan tetapi bagus kalau ada Bonus pouch nya.  hehhe,isi ini ya ges (positive/neutral/negative)
"barang udah sampe gunn,, masih segell dari pabriknya,, mangstabb,,",isi ini ya ges (positive/neutral/negative)
barang tlah diterima kondisi baik,isi ini ya ges (positive/neutral/negative)
mantap,isi ini ya ges (positive/neutral/negative)
"Barang sesuai deskripsi,penjual ramah,respon cepat..",isi ini ya ges (positive/neutral/negative)
"Packaging rapi, flashdiksnya ORI, kapasitasnya sesuai dengan detail produk yang dicantumkan dan foto dengan barangnya sesuai + barangnya datang sesuai tepat waktu. Makasih ya.. 😘",isi ini ya ges (positive/neutral/negative)
"flashdisknya sudah diterima dengan baik. kapasitas total 58,544,586,752 bytes dengan FAT32. menjadi 62,885,724,160 bytes kalau diformat dengan exFAT. write speed 10MB/s dan read 30 MB/s dengan port USB 2.0, belum dicoba dengan port usb 3.0.",isi ini ya ges (positive/neutral/negative)
"Terima kasih, barang bagus dan respon penjual sgt baik.",isi ini ya ges (positive/neutral/negative)
"Barang sudah diterima dgn baik. Packing rapih. Tp isinya cuma 58GB. Selebihnya, oke",isi ini ya ges (positive/neutral/negative)
pas cocok buat anda semua. bgus. sesuai deskripsi.,isi ini ya ges (positive/neutral/negative)
PUAS,isi ini ya ges (positive/neutral/negative)
"flashdisk 64gb casing metal, baguss",isi ini ya ges (positive/neutral/negative)
Sesuai deskripsi,isi ini ya ges (positive/neutral/negative)
"barang dah sampai, makasih",isi ini ya ges (positive/neutral/negative)
mantap barang gak minus sama sekali,isi ini ya ges (positive/neutral/negative)
"pengiriman cepat, packing cukup bagus",isi ini ya ges (positive/neutral/negative)
Biarkan bintang yang berbicara ... 👌👍,isi ini ya ges (positive/neutral/negative)
"Barangnya ok, cepat sampai",isi ini ya ges (positive/neutral/negative)
"Pengirimannya cepat, produk baik",isi ini ya ges (positive/neutral/negative)
Barang  sesuai dengan deskripsi dan berfungsi baik.,isi ini ya ges (positive/neutral/negative)
"sampai cepat, barang sesuai.",isi ini ya ges (positive/neutral/negative)
dikirim hari berikutnya dan barang mulus,isi ini ya ges (positive/neutral/negative)
oke,isi ini ya ges (positive/neutral/negative)
baik,isi ini ya ges (positive/neutral/negative)
ram 8gb atau 4gb?,isi ini ya ges (positive/neutral/negative)
"TV LED dengan pilihan input yang lengkap (HDMI, DV, VGA). Kami beli untuk keperluan kantor yang penggunaannya bisa multi-source. Panasonic satu-satunya merk yang menyediakan fasilitas ini (sepanjang pengetahuan kami). Kualitas gambar juga bagus, dengan bezel tipis yang memberikan kesan ""lega"" ... extra bracket memudahkan pemasangan di dinding. Bravo Panasonic!",isi ini ya ges (positive/neutral/negative)
Cuma butuh waktu 12 jam unit tiba.. thks,isi ini ya ges (positive/neutral/negative)
Mau cicilan gmn caranya6,isi ini ya ges (positive/neutral/negative)
Nyicil dengan cara mudah prosesnya susah nggak,isi ini ya ges (positive/neutral/negative)
Pokonya puas..,isi ini ya ges (positive/neutral/negative)
"Puas bgt pengiriman sesuai jadwal, barang bagus, packing rapih buat maen game enak bgt hihii, murah lagi, tenkyu lazada",isi ini ya ges (positive/neutral/negative)
Saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi. Untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang,isi ini ya ges (positive/neutral/negative)
"Saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak ada..hanya keterangan saja di dusnya bahwa barang ini Original Resmi Indonesia Bergaransi ..dengan diberi nomor telpon Service Centernya.... Memory yang tersedia ternyata juga tidak sampai 2 TB tetapi 1.81 TB  selisih 0.19 TB ...besar banget selisihnya..tidak mungkin juga terpakai untuk sistemnya sampai begitu banyak...tapi tidak begitu masalah...  Eksternal hardisk ini bekerja bagus, cepat dan  Hadiah hardcase cukup bagus  untuk melindungi barang  ini dari debu dan benturan. Sayangnya saat di registrasi ke Official Webnya WD ternyata Identification Numbernya tidak dikenal..tidak valid...alias barang ini bukan asli..alias KW.. Seller responsif sayangnya tidak memberitahu asli tidaknya barang ini. Pengiriman terhitung cepat..dalam 2 hari barang sudah di tangan.. Mudah2an saja barang ini awet wslaupun tdk original",isi ini ya ges (positive/neutral/negative)
barang bagus peking rapih. gua rekomendasikan banget lah klo barangnya.cma sayang pengiriman lama kaya ampas jne dioper sana sini barang gua ga ga muncul2 harus di komplen dlu cs ny kali baru ngerti. mending buat pengiriman lain deh lbi bgus,isi ini ya ges (positive/neutral/negative)
"Mantab, speed konsisten, total size asli 1.81gb, pas. Sejauh ini masih normal digunakan. Nice job seller n Lazada 👍🏻",isi ini ya ges (positive/neutral/negative)
"barang belum terima....pihak lazada bilang sidah diterima. cek di JNE lhoksukon aceh utara barang tidak ada...ada masalah, petigasnya tdk ramah, dan tdk ada solusk. mana yg benar. email ke CS JNE sama CS Lazada tdk ada reapon. bagaimana nasih barang saya harga 1 jt an",isi ini ya ges (positive/neutral/negative)
Smuanya mntap..,isi ini ya ges (positive/neutral/negative)
"pengiriman cepat, hr ini kirin lusa udh terima. packing rapi pake bubble jg. kwalitas product oke. Tq.",isi ini ya ges (positive/neutral/negative)
Saya rekomendasikan beli disini,isi ini ya ges (positive/neutral/negative)
sudah sampaiii,isi ini ya ges (positive/neutral/negative)
"warna sesuai pesanan, spek persis, ok dah",isi ini ya ges (positive/neutral/negative)
"thanks, respon cepat Hdd Ext 2TB sampai sesuai pesanan.",isi ini ya ges (positive/neutral/negative)
"Original, Packing rapi.",isi ini ya ges (positive/neutral/negative)
Barang good condition and delivery ok,isi ini ya ges (positive/neutral/negative)
mantap,isi ini ya ges (positive/neutral/negative)
barang oke,isi ini ya ges (positive/neutral/negative)
"Foto produk sesuai dengan asli. Warna birunya bagus. Saya pesan, dan bayar produk ini pada tanggal 21 Oktober 2018, dan produk ini datang pada tanggal 23 Oktober 2018 dalam kondisi baik, dan berfungsi untuk Macbook Pro saya meskipun saya harus format dahulu. Saya mendapat bonus poket untuk external HDD saya ini. Mudah-mudahan produk ini awet. Terima kasih Lazada.",isi ini ya ges (positive/neutral/negative)
"Packing rapi dan pengiriman tepat waktu. Sejauh ini berfungsi dengan baik, harapannya semoga awet ni barang🙏",isi ini ya ges (positive/neutral/negative)
"Barangnya bagus, kecil/compaq, dan packing baik",isi ini ya ges (positive/neutral/negative)
good Product with reasonable Price,isi ini ya ges (positive/neutral/negative)
"Packing Rapi, kualitas oke, fitur2 persis seperti deskripsi, desain keren... cuma yg kurang puas di segi kecepatan transfer hanya mentok di 9-10 Mb/s",isi ini ya ges (positive/neutral/negative)
"Gmn nih lazada saya liat iklannya flashdisk tapi yg dikirim koq malah flashdrive,,,,mohon penjelasannya,,barang sdh saya buka.....saya br x ini kecewa",isi ini ya ges (positive/neutral/negative)
"Smua yang di ulasan bener smua apa mreka kata, kapasitas terbaca 29.5GB karena terpakai sistem, pengiriman lebih cepat dari extimasi",isi ini ya ges (positive/neutral/negative)
"barang sdh diterima, pengirimannya cepat, data yg terbaca 29.1GB (iya karena space 32GB tdk terbaca 32GB full) terima kasih atas fast responnya, n barangnya ori.",isi ini ya ges (positive/neutral/negative)
"Pengiriman cepet  , tapi tranfer failnya lemot",isi ini ya ges (positive/neutral/negative)
flashdisknya bagus tapi jatoh sama teman akhirnya rusak untuk mengeluarkan nya,isi ini ya ges (positive/neutral/negative)
"Cepet sampai, barang asli, bagus lah. Thanks LAZADA",isi ini ya ges (positive/neutral/negative)
BARANG CEPAT CUMA 2 HARI GARANSI RESMI MANTABB,isi ini ya ges (positive/neutral/negative)
"Cepet sampai 1 hari udah sampai,, barang bagus gk cepet panas walau di pake lama,, pokoknya mantab",isi ini ya ges (positive/neutral/negative)
Bagus. Packing rapi. Modelnya aku suka. Thanks lazada!,isi ini ya ges (positive/neutral/negative)
"Barang bagus, pertahankan",isi ini ya ges (positive/neutral/negative)
"Barangnya sudah saya terima , kondisi sangat baik  Trimakasih Lazada",isi ini ya ges (positive/neutral/negative)
Produk oke dan Original by Datascrip tapi sayang kapasitas bersihnya 29GB,isi ini ya ges (positive/neutral/negative)
"pengiriman cepet, barang bagus, transfer data lebih cepat daripada tipe Cruzer Switch",isi ini ya ges (positive/neutral/negative)
produk mantap sesuai deskripsi,isi ini ya ges (positive/neutral/negative)
Good,isi ini ya ges (positive/neutral/negative)
produk sesuai pengiriman cepat,isi ini ya ges (positive/neutral/negative)
Produk Bagus,isi ini ya ges (positive/neutral/negative)
barang sangat bagus trimakasih,isi ini ya ges (positive/neutral/negative)
Barang yg dikirim tidak seperti yang di gambar,isi ini ya ges (positive/neutral/negative)
Barang yg sampe Cruzer yg biasa tidak sesuai di gambar tapi size-nya 64GB,isi ini ya ges (positive/neutral/negative)
cukup bagus,isi ini ya ges (positive/neutral/negative)
Knpa prosesnya lama? Apa gagal atau sya harus pesan lagi,isi ini ya ges (positive/neutral/negative)
Barang saya ko gaada ya? Padahal saya ngasih alamatnya bener dan saya cek di situs jnenya alamat tujuannya kok salah? Mohon diperiksa kembali.. saya beli barang bebarengan dengan yang lain yg lainnya udh sampai tapi beli di sini gaada barangnya sampai sekarang..,isi ini ya ges (positive/neutral/negative)
kecewa alias barang aspal ya lumayan buat isi mp3 sih banyak lagunya,isi ini ya ges (positive/neutral/negative)
"flashdisk 64gb tpi isi cm 2gb,gk bs dipakai",isi ini ya ges (positive/neutral/negative)
Tidak bisa berfungsi menyimpan data,isi ini ya ges (positive/neutral/negative)
"Barang tidak pernah sampai yg hitam,yg putih ga bisa dipake",isi ini ya ges (positive/neutral/negative)
"Pengiriman lama, warna yang dateng putih bukan hitam",isi ini ya ges (positive/neutral/negative)
"KRN PESANAN TDK SESUAI DENGAN KIRIMANNYA ,DR WARNA SAJA SAYA PESAN HITAM DIKIRM PUTIH DAN TIDAK BISA DIPAKAI DI LABTOP ANAK SAYA . SEHARUSNYA TIDAH SEPERTI ITU YAH",isi ini ya ges (positive/neutral/negative)
"Flashdisk saat dicopy file yg kebaca setengah doang,  ud mana beli 2, saya tertipu pantes g garansi, hati hati untuk yg mau beli",isi ini ya ges (positive/neutral/negative)
"Ketika barang datang, masih di luar kota. 2 minggubkemudian baru cek barang. Dari awal muncul pertanyaan karena di pembungkusnya sendiri tulisannya toshiba kapasitas 8 GB, sedangkan di Flashdisk memang tertulis 64 GB. Setelah dicoba untuk kopi file, ternyata banyak yang failed. Dan yang berhasil dikopi ternyata juga tidak dapat dibuka. Sepertinya ini hanyalah produk gagal buatan OEM yang dibuat asal-asalan untuk dijual murah. Dan pihak toko terlanjur membeli dalam jumlah banyak kemudian berusaha menjual dengan segala cara.",isi ini ya ges (positive/neutral/negative)
rusak gk bisa dipakai 😢 kapok,isi ini ya ges (positive/neutral/negative)
Ga bisa dipakai...,isi ini ya ges (positive/neutral/negative)
Barangnya lama sekali,isi ini ya ges (positive/neutral/negative)
"produk jauh dari yang diharapkan, sangat kecewa.",isi ini ya ges (positive/neutral/negative)
Kok dapet nya warna biru,isi ini ya ges (positive/neutral/negative)
"Barang diterima cepat, seller n lazada pelayanan bagus.. kemasan rapi kasih plastik tebal lagi, good.. tvnya cakep sesuai gambar n speknya, display cukuplah sesuai.. sempat ada baut casing lepas dikencangkan ternyata bisa,,  recomended buat yang nyari.. :)",isi ini ya ges (positive/neutral/negative)
Ini tv jg bs jadi monitor pc kan?,isi ini ya ges (positive/neutral/negative)
Boleh kredit bang,isi ini ya ges (positive/neutral/negative)
1 HARI ORDER BESOK LANGSUNG SAMPAI FAST RESPON FAST SELLER,isi ini ya ges (positive/neutral/negative)
biar bintang yang berbicara,isi ini ya ges (positive/neutral/negative)
bagus barangnya⭐⭐⭐⭐⭐,isi ini ya ges (positive/neutral/negative)
Mantab.... Reseller nya... Pengiriman cepat dan pakingan ok... Thank's... Reseller dan lazada... Sukses selalu.... Buat reseller dan lazada....,isi ini ya ges (positive/neutral/negative)
"packing dan barangnya Ok, namun bonus pouch ukurannya terlalu kecil untuk tempat hardisk nya",isi ini ya ges (positive/neutral/negative)
"Pengiriman cepat. Kualitas gambar bagus, terutama kualitas suaranya oke. DVB T2 berfungsi baik. Cuma remote ada yg error. Tombol source tidak fungsi, jd kalau mau ganti ke usb, hdmi atau lainnya mesti pencet tombol fisik di tvnya. Sudah minta ganti ke seller, malah disuruh contact Aquanya. Kata Aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya. Ribet deh dipingpong...😤",isi ini ya ges (positive/neutral/negative)
Ini layar sentuh bukan yah?,isi ini ya ges (positive/neutral/negative)
Saya pesan uang sdah d transfer tapi barng tdk sampai,isi ini ya ges (positive/neutral/negative)
"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",isi ini ya ges (positive/neutral/negative)
"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",isi ini ya ges (positive/neutral/negative)
"Hi. Sist/Gan, Stocknya.. Masih Ready.? INFORMASI PRODUK KAMI.! Silahkan chat +add: WhatsApp : 0852-5468-9727 √◎ Respon cepat, Aman & Terpercaya. √◎ Pengiriman VIA : JNE & TIKI. ,?SELLER Resmi LAZADA.! Terima Kasih.",isi ini ya ges (positive/neutral/negative)
"Untuk info buat pelanggan setia kami di karenakan lazada slow respon cepat aman dan terpercaya,kami buka orderan pemesanan beli 1 garatis 1 melalui via whatsapp/wa:085250720044",isi ini ya ges (positive/neutral/negative)
"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",isi ini ya ges (positive/neutral/negative)
"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",isi ini ya ges (positive/neutral/negative)
"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",isi ini ya ges (positive/neutral/negative)
"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",isi ini ya ges (positive/neutral/negative)
"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",isi ini ya ges (positive/neutral/negative)
Klu cicilan gmn cranya yah,isi ini ya ges (positive/neutral/negative)
Saya dari Sumba Timur-Waingapu...,isi ini ya ges (positive/neutral/negative)
Cara.. Kredit nya bagaimana,isi ini ya ges (positive/neutral/negative)
Bisa di cicil gak,isi ini ya ges (positive/neutral/negative)
Laptop nya bagus,isi ini ya ges (positive/neutral/negative)
Tidak bisa di kurangi ya biar jadi 1.000000,isi ini ya ges (positive/neutral/negative)
Ini berapa inci ya layarnya,isi ini ya ges (positive/neutral/negative)
Ini bayar di tempat apa tidak?,isi ini ya ges (positive/neutral/negative)
Bayar ditempat?,isi ini ya ges (positive/neutral/negative)
Caranya gmn ya,isi ini ya ges (positive/neutral/negative)
Rizi,isi ini ya ges (positive/neutral/negative)
"Ditulis khusus jabodetabek,tp tersedia diwilyah lampung... dibeli tp dicancel krn diluar daerah. Klo gk bisa harusnya dtulis tdk tersedia diwil.anda..",isi ini ya ges (positive/neutral/negative)
Gmana caranya klw mau ikut kredit di lazada...??,isi ini ya ges (positive/neutral/negative)
Bisa kiri. Ke kota blitar tidak?!,isi ini ya ges (positive/neutral/negative)
Klw.di kirim k karawang bisa gak?,isi ini ya ges (positive/neutral/negative)
Gambarnya tidak keliatan,isi ini ya ges (positive/neutral/negative)
"Terimakasih, barang nya memuaskan semoga awet juga",isi ini ya ges (positive/neutral/negative)
