,text,sentiment
55,Ini bohong...bukan 32GB tapis lebih kecil.  Kalau saya hitung elkuran filenya lebih kecil Jadinya jangi barang,isi ini ya ges (positive/neutral/negative)
56,"Pengiriman Super cepat. Tapi sayang Ongkos kirim Mahal banget. Barang OK, tanpa cacat. SEMOGA AWET SAMPAI 2 thn Lebih... MAKASIH NINJA",isi ini ya ges (positive/neutral/negative)
57,kualitas barang sesuai dengan harga.. worth it lah utk anak kost an..semoga awet yak tv nya😇 cuma pengiriman cukup lama 6 hari an.. munkim karna lagi promo kali yak.. banyak permintaan..,isi ini ya ges (positive/neutral/negative)
58,akhirnya sampai dengan selamat..,isi ini ya ges (positive/neutral/negative)
59,melihat ulasan pembeli sebelumnya ttg akses tv analog yg mengalami kesulitan.. ternyata.. cukup mudah dilakukan..tampilan gambar tv analognya..memuaskan...volume suara..cukup 2 baris aja sudah keras..mantap..respon seler memuaskan..,isi ini ya ges (positive/neutral/negative)
60,bagus,isi ini ya ges (positive/neutral/negative)
61,Sampai dengan cepat. Packaging luar biasa. Harga paling murah diantara seller yg lain. Produk amazingly great. Top seller. Very recommended.,isi ini ya ges (positive/neutral/negative)
62,siiippp,isi ini ya ges (positive/neutral/negative)
63,"kecewa , tidak bisa di pakai tidak menerima file yg di pindahkan, kecewa berat...",isi ini ya ges (positive/neutral/negative)
64,Mantap....semoga awet,isi ini ya ges (positive/neutral/negative)
65,Good,isi ini ya ges (positive/neutral/negative)
66,"saya kecewa.. biasanya lazada layanannya bagus.. tp akhir2 ini jadi kurang.. kalah ama lapak2 sebelah.. saya pesen tv sharp 24""  ini berikut braketnya pd hari selasa tanggal 26 juli 2016, entah kenapa.. sampe hari jumat tgl 29 barang blm dateng padahal bracket nya udah dateng tgl 28 juli 2016, ketika cek no resi gak ada di JNE, trus nelpon ke CS lazada.. dan nelpon tiap hari pagi dan sore nanya sampai mana proses pengiriman brg sy sampai tgl 03 agustus 2016 baru no resinya bisa di cek di JNE... minta dibatalkan tidak bisa.. kata CS nya barang sudah dlm proses pengiriman.. tp sampe hri ini tgl 4 agustus.. tenryata saya cek di jne ada cancel by shpper.. nach.. saya kan mau beli tv buat nonton tv bukan nonton braket gan.. hadeeuhh... batal deh punya tv dan buang2 waktu nunggu sampe 2 minggu hanya untuk tidak dikirim..",isi ini ya ges (positive/neutral/negative)
67,"produk ori dan bagus, udah dicoba isi film",isi ini ya ges (positive/neutral/negative)
68,"Dari melakukan transaksi barang udah sampai, hanya 24 jam barang udah sampai rumah. cepat dan tepat. Terimkasih",isi ini ya ges (positive/neutral/negative)
69,biar bintang berbicara,isi ini ya ges (positive/neutral/negative)
70,lumayanbagus...cocok dengan harganya...,isi ini ya ges (positive/neutral/negative)
71,keren,isi ini ya ges (positive/neutral/negative)
72,Keren,isi ini ya ges (positive/neutral/negative)
73,"Barang Ok, dan sudah dicoba berfungsi berfungsi dengan baik. Rekomend...",isi ini ya ges (positive/neutral/negative)
74,Kereeeeeeeen Mantaaaaaaaaaaaaaaaap tadi mau beli BMG tapi liat selisih  harga beda tipis jelaaaaaaas POLITRON  dong terjamin klok beli tape tv dvd POLITRON  sony aiwa samsung  jgn diragukaaaan lagi Mantaaaaaaaaaaaaaaaap,isi ini ya ges (positive/neutral/negative)
75,Barang Alhamdulillah sudah sampai namun belum bisa dibuka blm ada aplikasi windowsnya jadi nunggu di instal dulu blm tau sih bagus enggaknya nanti kalau sdh bisa aku koment lagi,isi ini ya ges (positive/neutral/negative)
76,Produk tidak respon dilaptop. space 0 bytes. saya sangat kecewa.,isi ini ya ges (positive/neutral/negative)
77,"8 hari baru sampai, sistemnya kosong root saja tampil jadi hrs install ulang,, packingan rapi dan tersegel",isi ini ya ges (positive/neutral/negative)
78,Wkwkwk,isi ini ya ges (positive/neutral/negative)
79,mantaplah pokonyah... makasih lazada makasih kurir... semoga semakin sukses.. 😊😊😊,isi ini ya ges (positive/neutral/negative)
80,"Pesan selasa, kamis sudah sampai, packing rapi namun tdk diberi pengaman",isi ini ya ges (positive/neutral/negative)
81,"Alhamdulillah sampe dengan aman dan selamat,walaupun sempat drama 2x tlp CS ekspedisi pengirimannya.",isi ini ya ges (positive/neutral/negative)
82,saya mau kembalikan produk. krn gambar layar tidak kelihatan,isi ini ya ges (positive/neutral/negative)
83,"tvnya Mantapp udah di jajal, joss gandos semoga awet ych",isi ini ya ges (positive/neutral/negative)
84,"pengiriman cepat, barang tidak ada kerusakan sama sekali. terima kasih :)",isi ini ya ges (positive/neutral/negative)
85,"mantap, sesuai gambar",isi ini ya ges (positive/neutral/negative)
86,bagus.... semoga awet,isi ini ya ges (positive/neutral/negative)
87,"mantap keren, pengiriman cepat k makassar, barang ori serta pengemasan barang terbaik... sukses buat lazada",isi ini ya ges (positive/neutral/negative)
88,Harga terbilang terjangkau untuk smart tv dgn ukuran 50inch dan sdh UHD pulaa.,isi ini ya ges (positive/neutral/negative)
89,"Barang bagus, tetapi ketika pertama kali dinyalakan ada tulisan “tidak dapat menginstall: error code 1” , pengiriman pakai ninja xpress biasa aja, notif barang dikirim pada hari kamis, ditunggu sampai malam jam 11 ternyata ada notif gagal pengiriman, kemudian di antarkan esok hari nya.",isi ini ya ges (positive/neutral/negative)
90,"Tv nya bagus banget gambarnya lebih tajam, kualitas bagus walaupun merk baru",isi ini ya ges (positive/neutral/negative)
91,"sangat bagus, dan bonus mainan gantungannya juga keren 😁",isi ini ya ges (positive/neutral/negative)
92,promo free bracket.saya pesan pas barang sampe ternyata ngga ada bracket nya pas tlp ke CS lazada .katanya bracket nggak tersedia/abis stok ...dan saya di tawari untuk di ganti vocer lazada ...tapi ternyata lazada ngga tepatin comitmenya .ampe sekarang juga belom di kirim kecewa,isi ini ya ges (positive/neutral/negative)
93,brang alhmllh aman dtang dngan slamat,isi ini ya ges (positive/neutral/negative)
94,barang nya bagus sesuai pesanan,isi ini ya ges (positive/neutral/negative)
95,Gooddddd,isi ini ya ges (positive/neutral/negative)
96,"barang udh di pake,berfungsi baik.....tapi ko gambarnya kurang tajam ya.saya bandingkan sama tv coocaa yg udh ada.dan dvb s nya gk ada.lumayan lah untuk harga segitu....",isi ini ya ges (positive/neutral/negative)
97,kecil mungil bertenaga 24d3a top markotop,isi ini ya ges (positive/neutral/negative)
98,barang udah sampai.suara y mantap....,isi ini ya ges (positive/neutral/negative)
99,Recommended..,isi ini ya ges (positive/neutral/negative)
100,"Gila ya, alamat dah betul tulisan dah betul tapi waktu dibuka isinya beda, saya merasa dirugikan, yg dikirim antivirus, emangnya saya pesan antivirus, apa karena ada diskon jadi dirubah gitu aja peaanan saya.",isi ini ya ges (positive/neutral/negative)
101,"Barang nyampe dengan baik, cuma saya sayang nyampenya lama banget, lebih dari sepuluh hari",isi ini ya ges (positive/neutral/negative)
102,"Alhamdulillah,.. paketnya udh nympe, barang ok bgt semoga awet trims coocaa,lazada dan mas kurirnya😁👌👍",isi ini ya ges (positive/neutral/negative)
103,Saya menerima flashdisknya dengan dibungkus rapi dan terbukti memang barang yang dikirim benar 32gb.. Terima Kasih,isi ini ya ges (positive/neutral/negative)
104,Hardisknya nya bagus dan sesuai deskripsi..begitu saya terima langsung di tes dan saya format untuk mac..bisa berjalan normal di macbook pro saya...enggak ada masalah...,isi ini ya ges (positive/neutral/negative)
105,Di Kendal bisa nangkep sinyal digital jadi so far so good. murah. kualitas juga lumayan. alhamdulillah pengiriman aman pakai ninja express. thanks lazada dan ninja express. kalo dapet diskon lagi bakal beli lagi dah. hahahaha,isi ini ya ges (positive/neutral/negative)
106,"Beli tgl 14 desember 2016, dikasih estimasi barang sampai plg lambat tgl 30, kemudian diundur tgl 2 januari dan katanya diundur lagi 5 januari dan sampai sekarang barang blm saya terima.",isi ini ya ges (positive/neutral/negative)
107,"Luar biasa ini TV bener2 multifungsi abis, kebetulan tembok rumah saya roboh dimakan lalat, TV ini bisa sekalian jadi tembok / pembatas ruangan jadi kuntilanak dirumah saya ga bisa rembus tembok secara tembok rumah sudah diganti TV",isi ini ya ges (positive/neutral/negative)
108,"produk sesuai dan sampai di lokasi pengantaran dengan selamat, dan tanpa cacat.",isi ini ya ges (positive/neutral/negative)
109,mantap benar sesuai dengan deskrepsi singkat barang,isi ini ya ges (positive/neutral/negative)
110,"Alhamdulillah... tivinya udah nyampe ni ,dngan keadaan baik.. Trimakasih lazada",isi ini ya ges (positive/neutral/negative)
111,Produknya bagus sesuai harapan hanya pengirimannya aja yang bikin kecewa,isi ini ya ges (positive/neutral/negative)
112,"masih beli Antena utk coba saluran tv nya , semoga awet terimakasih lazada 😊",isi ini ya ges (positive/neutral/negative)
113,"Terimakasih lazada, smpet brpikiran negatif utk refund, tkut uang tdk di kembalikan. Tp alhmdulillah brjlan lancar, tnpa potongan biaya apapun.",isi ini ya ges (positive/neutral/negative)
114,mantap coocaa respon cepat.. terimakasih lazada😍,isi ini ya ges (positive/neutral/negative)
115,"Mantab.. Pessanan cepet bgt nyampainya, TV nya juga bagus gak ada masalah, packing rapi..",isi ini ya ges (positive/neutral/negative)
116,Mantap,isi ini ya ges (positive/neutral/negative)
117,"barangnya cepet sampeee, dapet harga promo... gambarnyaa mancaapppp... suaranya jugaa okee... garansi ada di buku petunjuknyaa..👍👍👍",isi ini ya ges (positive/neutral/negative)
118,"trimakasih barang sudah sampai,,cuman packingan knapa ga pke peti...",isi ini ya ges (positive/neutral/negative)
119,"kwalitas gambar ok, suara mantabs, untuk fitur yg lain blom sempet di coba, mudah2an awet..",isi ini ya ges (positive/neutral/negative)
120,"barangnya sudah diterima,, thanks lazada",isi ini ya ges (positive/neutral/negative)
121,Pesanan datang lebih awal dari estimasi waktu. Kualitas barang baik dan original.,isi ini ya ges (positive/neutral/negative)
122,"Alhamdulillah paket sudah sampai terimakasih Gan,barang juga bagus berfungsi dengan baik , terimakasih juga buat kurirnya baik ramah, terimakasih juga buat LAZADA",isi ini ya ges (positive/neutral/negative)
123,sesuai pesanan mantappp,isi ini ya ges (positive/neutral/negative)
124,Barang di terima dengan baik,isi ini ya ges (positive/neutral/negative)
125,"barang bagus,ori,dan berfungsi.",isi ini ya ges (positive/neutral/negative)
126,Kualitas dan bahannya bagus. Pengiriman juga cepat,isi ini ya ges (positive/neutral/negative)
127,"produk ok, multi fungsi, pas buat hardisk atau powerbank tipis",isi ini ya ges (positive/neutral/negative)
128,ORI dan cepat sampai,isi ini ya ges (positive/neutral/negative)
129,mantap,isi ini ya ges (positive/neutral/negative)
130,"bagus packingan nyaa,barang nya jugaa bagusss",isi ini ya ges (positive/neutral/negative)
131,"sangat puas..  barang bagus, harga paling murah, packingnya kayu sangat septi.. proses cepat. ni klo ada bintang lebih mau aku kasih 10",isi ini ya ges (positive/neutral/negative)
132,"Gak ada kartu garansinya, selebihnya oke lah",isi ini ya ges (positive/neutral/negative)
133,"barang sesuai, produk bagus, sampe dengan selamat",isi ini ya ges (positive/neutral/negative)
134,"barangnya bagus, cuma ekspedisi yg dipake JNE kesini lama dan mesti telpon JNE pusat terus sampe 3 kali baru barang dikirim, padahal barang sudah ada di JNE cabang, pelayanan JNE di kecamatan saya agak lambat, masa iya harus berulang kali ditelpon baru bergerak dikirimkan... akhirnya datang malam2 jam 22.30 wib, tapi dibalik kekecewaan pengiriman, barangnya bagus dan berfungsi baik hingga saat ini,semoga awet ini tv xiaominya",isi ini ya ges (positive/neutral/negative)
135,"Alhamdulillah mendarat dengan aman, package nya rapi dan tulisan di fd nya sih ""Made in Japan"". Sepertinya ini ori ya. Ada ""hologram toshiba dan garansi 5 tahun"" juga. Semoga awet. Recommended! Terima kasih",isi ini ya ges (positive/neutral/negative)
136,"sangat cepat sehari sudah sampai medan , semoga kualitasnya bagus dan tahan lama . dan servis centernya semoga bisa melayani dengan baik apabila ada kerusakan..",isi ini ya ges (positive/neutral/negative)
137,Pengiriman Cepat,isi ini ya ges (positive/neutral/negative)
138,Mantaap.. semoga awet,isi ini ya ges (positive/neutral/negative)
139,tidak fungsi,isi ini ya ges (positive/neutral/negative)
140,barang berkualitas. mantaf...,isi ini ya ges (positive/neutral/negative)
141,"Bagus ini yg ke 2klinya sesuai gmbar,tpi blum d coba klau yg udah prnah beli mulus mancap,terimakasih lazada dkk.",isi ini ya ges (positive/neutral/negative)
142,Pesanan aku udah nyampe pekingnya rapi banget ampe gw puyeng bukany. Tapi gpp deh demi kenyamanan barang Terima Kasih lazada rapih bangt dh pokoknya😍😘😘😘,isi ini ya ges (positive/neutral/negative)
143,Alhamdulillah aman walau tidak di packing kayu,isi ini ya ges (positive/neutral/negative)
144,"Kualitas produk sangat bagus bnrbnr msh mulus. Good lah pokonya,  cm ada keterlambatan pengiriman tapi gpp lah ya yg pntng produk sampai dgn ga ada kerusakan",isi ini ya ges (positive/neutral/negative)
145,terima kasih barang nya udah saya terima..bagusss..peking nya rapi...tampa lecett..semoga awett..mantapp lazada..👍👍,isi ini ya ges (positive/neutral/negative)
146,"Barang sesuai dengan deskripsi, pengiriman sangat cepat, kualitas oke, seller ramah, packingan rapih dan aman.",isi ini ya ges (positive/neutral/negative)
147,Barang sesuai harga,isi ini ya ges (positive/neutral/negative)
148,"Barang baguss tapi saya cek kurang dari 32gb yang ada di cuman 28,5 gb tapi tidak apa apa lah, tingkatkan lazada jangan mengecewakan konsumen",isi ini ya ges (positive/neutral/negative)
149,Sangat puas pngirimanny cepat sesuai pasanan....terima ksih LAZADA,isi ini ya ges (positive/neutral/negative)
150,"Barang bagus, sesuai, ada software SanDisknya juga. Keren dah",isi ini ya ges (positive/neutral/negative)
151,Barangnya tdk sesuai gambar casingnya plastik semua tdk ada tutupnya,isi ini ya ges (positive/neutral/negative)
152,Di terimah dengan baik,isi ini ya ges (positive/neutral/negative)
153,gk nyangka 1 hari pesanan sudah sampai di malang,isi ini ya ges (positive/neutral/negative)
154,TV sdh sampai dgn selamat... semoga awet,isi ini ya ges (positive/neutral/negative)
155,siiiiiiipppp,isi ini ya ges (positive/neutral/negative)
156,"Pengiriman tercepat saya selama transaksi dengan LAZADA, beli minggu siang 24/3/19,senin  pagi 25/3/19 barang sudah diterima dengan baik, packing rapi dan masih tersegel",isi ini ya ges (positive/neutral/negative)
157,"luar biasa pesan siang jam 12 ,malam jam 7 sudah sampai makassar. barang bagus gak ada keluhan",isi ini ya ges (positive/neutral/negative)
158,"Min..,barangnya udah sampai sore tadi & packing serta kurir jg baik & ramah.namun,sayangnya saya kecewa dikit,krena bracketnya seperti diiklankan gak ada ternyata.mohon kedepannya lebih ditingkatkan min lazada,thanks",isi ini ya ges (positive/neutral/negative)
159,sesuai pesanan packing kayu rapi aman sampe tujuan kurir cepat dan ramh,isi ini ya ges (positive/neutral/negative)
160,bagus..,isi ini ya ges (positive/neutral/negative)
161,"Mantapp, sempurnaaaa",isi ini ya ges (positive/neutral/negative)
162,"Barang sdh tiba dgn selamat, fungsi baik, trims seller lazada & kurir",isi ini ya ges (positive/neutral/negative)
163,"Packing sangat rapi dan aman, dibungkus bubble wrap jg, dan meskipun harbolnas tp 3 hari sudah nyampe",isi ini ya ges (positive/neutral/negative)
164,"Halo semua ,ada yg mengalami kendala yg sama dengan saya kah? Aplikasi Coocaa store tidak dapat dibuka tampilannya hanya loading saja, sudah hubungi melalui layanan chat disarankan hubungi call center coocaa , di telp g pernah ada yg angkat dan di WA hanya balas akan ditanyakan ke tim tekhnisi yg sudah hampir 1 minggu g ada update , di WA kembali g pernah balas",isi ini ya ges (positive/neutral/negative)
165,"Mantabbb....  barang sdh sampai sangat cepat diluar waktu yg diperkirakan, packing rapih, barang mulus dan sesuai yg kami harapkan... recommended...👍🏿👍🏿👍🏿👍🏿👍🏿",isi ini ya ges (positive/neutral/negative)
166,Laptop diterima dgn baik...top lazada,isi ini ya ges (positive/neutral/negative)
167,jhoss gandosss,isi ini ya ges (positive/neutral/negative)
168,"sempet ngeri pecah coz Bible wrap..,to.., Alhamdulillah aman..,n barang puas lahhh..,",isi ini ya ges (positive/neutral/negative)
169,oke banget lzada.toko nya.respon cepat ramah..pengiriman  bogor cepat....makasih lazada,isi ini ya ges (positive/neutral/negative)
170,jjooosss,isi ini ya ges (positive/neutral/negative)
171,Barang bagus sesui gambar pengiriman cepat paking rapi dan aman. terimakasih lazada,isi ini ya ges (positive/neutral/negative)
172,"Barang oke, packing oke pake kayu mantap  memuaskan",isi ini ya ges (positive/neutral/negative)
173,pengirimaan kilat kemarin pesen skrng nyampee... mantaapp sekalii,isi ini ya ges (positive/neutral/negative)
174,"thanks flashdisk nya sangat membantu bgt dlm penunjang aktifitas2 saya.saran saya utk pembeli,bertanya lah sebelum membeli,karena namanya manusia g luput dari kesalahan yg mgkn byk ny pesanan,penjual jd lupa..jd lebih baik mengingatkan seller dulu lewat pertanyaan sbelum /sesudah memesan barang.jadi lah pembeli yang cerdas yang tidak termakan akan komenan2 orang yang menjelek2kan.terima kasih 👍👍👍 bintang 5 ⭐⭐⭐⭐⭐",isi ini ya ges (positive/neutral/negative)
175,senang sekali barang ya Ori Dan datangnya juga cepet banget.harganya juga murah.thanks,isi ini ya ges (positive/neutral/negative)
176,"Barang sudah dicoba gambar mantap,,,kualitas bagus",isi ini ya ges (positive/neutral/negative)
177,bagus,isi ini ya ges (positive/neutral/negative)
178,mantaaaapppp kapasitas 31.39gb.,isi ini ya ges (positive/neutral/negative)
179,Kalau mau cicilan gmna cra nya??,isi ini ya ges (positive/neutral/negative)
180,Ko TV nya beda yaa...gx kaya model yg skrang .. Nie mah bawahnya kaya ada speackernya... Aneh jd nyaa....ud lama pengiriman pas dtg kaya gini....hemmmm Tp kurir dr LAZADA mah ud langganan jd pada ramah bgt...cuma playanan dr lapaknya yg kurang memuaskan..,isi ini ya ges (positive/neutral/negative)
181,"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",isi ini ya ges (positive/neutral/negative)
182,sangat baik,isi ini ya ges (positive/neutral/negative)
183,"langsung dipakai buat koleksi lagu, mantap",isi ini ya ges (positive/neutral/negative)
184,"Brang da sampe cpet cman 3hri da nympe,,paking bgus n rapih,,mdah""n awet,, Thankz lzada,thank sinar agung",isi ini ya ges (positive/neutral/negative)
185,"good quality, good seller, good service and good everything.  semoga pelayanan kedepan nya lebih baik lagi thank you",isi ini ya ges (positive/neutral/negative)
186,packing rapih bagus recomended seller,isi ini ya ges (positive/neutral/negative)
187,barang sudah sampai dan bagus thanks lazada,isi ini ya ges (positive/neutral/negative)
188,barang sudah mendarat gan..makasih gan..n packing jg rappi..n pengirimannya cepat...great seller..,isi ini ya ges (positive/neutral/negative)
189,recommended barang ori seller ramah respon cepat,isi ini ya ges (positive/neutral/negative)
190,"Flash Disk Rusak tidak bisa dipakai, niat nya mau naruh file malah ilang kabeh file ku. lakare rusak ojok di dol yo.",isi ini ya ges (positive/neutral/negative)
191,bagus...produk ori...suara jernih gambar bagus,isi ini ya ges (positive/neutral/negative)
192,"Sesuai deskripsi, sdh dicoba dan berfungsi dgn baik...trmkasih...",isi ini ya ges (positive/neutral/negative)
193,2ArEaAH:D:D:-) ;:-[:-D:-D:P,isi ini ya ges (positive/neutral/negative)
194,"kartu garansinya blm gaada di paket, bagaimana supaya kartu garansi dapat dikirimkan?",isi ini ya ges (positive/neutral/negative)
195,produk sangat baik & respon cepat.packing sangat aman,isi ini ya ges (positive/neutral/negative)
196,"barangnya bagus, barang ori. terima kasih Lazada.",isi ini ya ges (positive/neutral/negative)
197,mantap dan original,isi ini ya ges (positive/neutral/negative)
198,ok sesuai estimasi dan product cara klaim promosi salurannya bagimna,isi ini ya ges (positive/neutral/negative)
199,"bagus, tp ga bisa cara pakainya.. dan tidak dpt gratis paket HOOQ",isi ini ya ges (positive/neutral/negative)
200,"Saya order jam 9:30, untuk di kirim hari yg sama dengan tambahan biaya Rp 10.000,-. Katanya sudah di kirim to sampe hari berikutnya barang belum sampe juga.",isi ini ya ges (positive/neutral/negative)
201,"Bru psen td pagi, dan sore lsg terima barangnya . Cepet bgt! TV ok, ga ada masalah. thanks!",isi ini ya ges (positive/neutral/negative)
202,Terima kasih. Pengiriman cepat kualitas barang bagus😇🙏🙏,isi ini ya ges (positive/neutral/negative)
203,"Barangnya belum saya liat soalnya di kirim ke rumah,btw fast respon,kata org rumah packingnya baik pake kayu,tv ok ga da masalah. Anyway,thanks samsung & lazada. Saya kasih 5 bintang",isi ini ya ges (positive/neutral/negative)
204,produk harga bersahabat kualitas juga baik,isi ini ya ges (positive/neutral/negative)
205,tq. sdh sampai,isi ini ya ges (positive/neutral/negative)
206,"harga sesuai dengan spek, cukup buat kerjaan sehari hari",isi ini ya ges (positive/neutral/negative)
