text,sentiment
di sini saya suka makan nasi bakmoy nya . kroket nya juga enak kok . kisaran harga kroket nya rp 3.000 - rp 4500,positive
jika anda ke bandung anda harus menyempatkan untuk bersantai dan makan di tempat ini . di sini banyak penjual yang menjajakan berbagai jenis makanan . makanan apa pun yang anda cari pasti ada di sini . di bagian depan makanan pasar ini terdapat air mancur dan taman yang asyik untuk bersantai dan makan sambil menikmati sejuk nya kota bandung . tempat ini hanya buka di malam hari .,positive
"saya datang semalam , 12 maret 2016 . pertama kalinya saya datang ke situ . dan tempat nya benar-benar keren . tidak salah deh kalau saya direkomendasikan banget lawang wangi sebagai salah satu destinasi yang wajib dikunjungi kalau ke bandung . dan yang tidak kalah penting nya nih . pelayanan nya oke banget . 2 jempol masih kurang deh untuk menejemen lawang wangi . ramah cepat dan sangat oke banget deh buat mereka semua .",positive
"1 . makanan khas sunda 2 . rasanya enak 3 . harga pas di kantong 4 . nuansa tempo dulu 5 . direkomendasikan nasi liwet , empal dan abon nya",positive
"tradisional , itulah yang akan terasa saat memasuki tempat ini . toko nya tidak terlalu luas tapi makanan nya disajikan hangat dan segar . selain ambokueh , mereka juga menjual bacang , bakso goreng , dan nasi tim . ambokueh menurut saya termasuk salah satu makanan khas bandung dan sangat direkomendasikan untuk dicoba .",positive
Ukuran sesuai. Bahannya tebal. Modelnya kekinian. Jahitannya rapi. Nyaman dipakai si kecil. Packaging-nya rapi.,positive
"bahan oke, joss lahh",positive
"makan di sini menyenangkan karena suasana hening , udara sayup-sayup , sayang sawah nya lagi gundul . cuaca pun mendukung . makanan secara keseluruhan baik enak . dicoba buncis oncom nya , enak !",positive
mencari restoran yang tidak pakai msg terus dapat info kalau lumboenk kafe tidak pakai msg jadi ke sana deh . nyobain stuffed chicken nya dan caisim nanas jus ternyata enak banget . jempol deh,positive
"Barang diterima dgn aman, respon cepat, paking rapi, waktu pengiriman lebih cepat dr jadwal. Makasih.",positive
"terbagi menjadi stand-stand makanan . sistem pembayaran nya dengan menukarkan uang tunai dahulu dengan uang kertas . dan apabila sisa , tidak bisa diuangkan kembali . rasa dan harga makanan standart , rata-rata dimulai dari 25 ribu .",positive
"tempat nya kecil tapi teduh . selalu ramai dan untuk cari parkir saja susah , meski tukang parkir nya banyak banget . pas ke sana , kondisi sedang penuh dan harus menunggu 15 menit untuk dapat meja . satu porsi terdiri atas bakso , tahu goreng , tahu bakso dan cuankie . bisa meminta juga jika hanya ingin menu tertentu . pesan di depan dan mangkok di bawa sendiri ke meja . rasanya mantap",positive
"enak tempat , suasana dan makanan minuman nya . banyak mahasiswa itb , unpad yang jadikan tempat ini untuk belajar . harga bersaing dengan makanan cepat saji . layak untuk bawa tamu , karena desain dan suasana nya yang nyaman . parkir juga cukup . ada wifi meski kadang gangguan . secara keseluruhan baik memuaskan",positive
"sesuai dengan nama nya , suasana di kampung daun sanga asri sdengan konep pedesaan yang hening , sejuk dan indah . suasana nya sangat romastis dan menenangkan apalagi jika datang dimalam hari selain suasana nya , makanan nya disajikan pun enak dan variatif .",positive
"Mienya enak Favorit keluarga. Sudah langganan beli mie sedap di toko OS , packing rapi dan dpt bonus. makasih ya????",positive
"bulan januari lalu datang bersama rombongan dari jakarta , awal nya mau makan daerah lembang , tetapi karena jalanan macet kita decide coba tjendana bistro yang kelihatan baru buka , suasana nya bagus sekali , interior nya saya suka ditambah ada garmen dan kolam dibelakang , karena rombongan besar kita dikasih pribadi room dekat garmen , serasa dilembang , beruntung sekali kita dapat tempat . menu nya sangat menarik .",positive
"standar rasa makanan nya . baru datang . langsung dingin tidak panas lagi makanan nya . untuk suasana di sini sangatlah dingin , pastikan membawa jaket ya dimalam hari :",positive
"suka....anak jd seneng meronce.sesuai pesenanya,barangnya jg bagus. mksh",positive
"saya pesan gurame goreng sepertinya khas resto ini . rasanya standar tetapi tidak mengecewakan . rasanya garing tapi masih lembut . saya juga pesan nasi timbel komplit dengan ayam goreng . menu sunda yang lengkap , enak dan murah . minum nya es teh manis enak .",positive
sandi memang hebat dalam memimpin,positive
"mungkin hanya di sari rasa sambal hejo ini anda bisa menikmati hidangan yang bernama cimplung , semacam perkedel kentang . enak banget kalau disantap hangat-hangat , sambal ijo nya pun tidak pedas-pedas amat , cocok buat yang tidak kuat pedas . di sini semua dihidangkan langsung , semacam rumah makan padang begitu . kalau bulan puasa ramai banget , disarankan untuk pesan dulu kalau mau berbuka puasa di sini .",positive
sierra kafe lounge adalah tempat yang sangat luar biasa pemandangan nya . baik di malam maupun di siang hari pemandangan nya sangat mempesona . makanan dan minuman nya juga cukup lezat . jika pergi di malam hari maka terdapat live performance dari bank sierra yang sangat cocok untuk melengkapi relaksasi dengan pemandangan yang menakjubkan dari kafe ini . nb . tempat nya sangat romantise juga . jika berkunjung di malam .,positive
puas ini mao pesen lagi ya kak,positive
"mi masak pa atang merupakan mi masak yang sangat nikmat di bandung . mi di tempat ini menggunakan mi lebar yang sangat khas karena dibuat sendiri . mi masak adalah mi dengan kuah berwarna keruh yang sangat gurih dengan isian daging dan hati babi , kekkian , bakso ikan , bakso sapi , udang kecil , daging ayam dan sayur caysim .",positive
"Salah satu yang terbaik, packing rapih dan kualitas makanan sangat bagus",positive
"batagor nya enak , bumbu nya pas . harga nya saja yang agak mahal hehe . cocok jadi oleh-oleh , bisa minta goreng setengah matang dulu atau tidak digoreng dulu .",positive
"waktu nya makan siang , berkunjung ke the restaurant padma hotel bandung , saya order menu khas indonesia nya yakni sop buntut . dari segi tampilan dan rasanya , sop buntut the restoran begitu nikmat dan lezat . paduan kuah dan buntut dalam sup nya rasanya pas sekali dan menyegarkan . tambahan sambal nya juga melengkapi kenikmatan nya . baik , poko nya menu di the restaurant padma hotel bandung benar-benar nikmat .",positive
warga medan kagum dengan kinerja bapak jokowi,positive
"mantap, bagus dan teba",positive
jangan pernah kecewa dengan apa yang diberikan oleh tuhan,positive
aku lebih menyukai produk xiaomi,positive
letak nya di gor pajajaran . rasa cakwe nya enak banget . makanan lain yang direkomendasikan yakni bubur ayam dan yam mi .,positive
nah kalau ke bandung jbagi anda pecinta mi anda jangan lupa untuk mencoba makan mi naripan yang berada jalan naripan bandung . walau tempat nya sederhana seperti rumah tapi rasanya enak .,positive
"bakmi rica ini terletak di jalan kejaksaan dan juga di ruko paskal hypersquare . tersedia beberapa pilihan jika tidak suka dengan makanan terlalu pedas , ada asin dan manis . tersedia juga bakso udang goreng yang menggugah selera . restoran wajib setiap berkunjung ke bandung .",positive
"asyik nya di pizza hut ini adalah terdapat menu basic yang harga nya sangat ramah di kantong , paket basic berdua 70.000 saja tapi kenyang .",positive
sektor pariwisata memang telah menjadi andalan baru bagi pembangunan nasional . presiden jokowi pun mengapresiasi,positive
lokasi di daerah ciumbuluit membuat udara nya sejuk . tempat nya nyaman dan romantis . parkir nya juga luas . pelayanan oke . makanan nya juga enak .,positive
"nama nya warung tetapi ini seperti kafe saja , menu yang dimenyediakan cukup terjangkau buat kantong kita . tempat nya ditengah kota bandung , mudah di jangkau . menu mei instan di sini tersaji dengan berbagai toping yang unik-unik . perlu dicoba saat berkunjung ke bandung",positive
"rindu lontong medan , datang saja kemari . sayur nya medan banget , ada tauco terong , mi gomak . ditambah telur atau rendang semakin enak . harga sangat bersahabat . mau minuman ringan khas medan badak saparila juga tersedia . pokok nya medan banget . hindari jam jam sibuk , karena yang makan dan nongkrong banyak .",positive
"saya bukanlah berasal dari minangkabau , namun seperti umum nya orang indonesia , saya penggemar masakan padang . di antara semua yang pernah saya ku njungi , simpang raya termasuk yang terbaik dan terfavorit . menu terfavorit saya adalah daging rendang dan dendeng batokok . silakan dicoba . simpang raya adalah salah satu restoran padang legendaris .",positive
"begitu datang ke sini , saya disuguhi welcome minuman berupa orange juice plus grenadine syrup . yuk , seger banget !",positive
"tidak sengaja coba makan di sini karena menginap di sapu lidi resor . ekspektasi awal , mahal . ternyata pas lihat menu nya , harga nya setimpal banget dengan suasana dan rasa . wajib dicoba itu ikan bakar dan ikan pepes - nya . beuh ! nikmat banget dimakan di gubuk di tengah sawah .",positive
"produk murah, sampai dengan selamat, dan wrapnya tebel. biar bintang yg bicara.",positive
Mantap Banget. Best price dan pelayanan sangat responsif. Thumbs up!,positive
"terletak di lantai bawah pvj , bakpao nya unik dengan berbagai macam bentuk dan warna warni juga rasanya beda-beda , ada rasa coklat , durian dan lain-lain , ada juga ceker ayam , bubur , siomay , lumpia basah dll.",positive
menikmati makan siang di restoran sapu lidi membuat kita merasakan sensasi makan di tengah sawah . hal ini dikarenakan restoran ini memiliki desain bangunan yang asri dan natural yang menyerupai kondisi perdesaan . ditambah dengan alunan musik sunda yang akan membuat kita lebih santai untuk menyantap makanan .,positive
"tempat makan yang bernuansa retro . sisi depan dapat menikmati suasana jalan braga dan sisi belakang terdapat set meja yang romantis sembari ditemani alunan musik secara langsung . makanan di tempat ini termasuk enak dengan porsi besar , sesuai harga , dengan air mineral gratis .",positive
diluar ekspektasi!! mirip banget sama yg biasa aku beli di drugstore dgn harga 150rb huhu.... serius iseng beli gegara bnyk review yg blg bagus apalagi harga 6rb klo ga cocok ga sakit hati.... ga taunya bagusss... cepet kering ga gumpal...,positive
recommended seller..udah order yg ke 16 kali,positive
"bagus bgt, sesuai gambar, pngiriman jg cpt",positive
"alhamdulillah , mudah mudahan untuk pilkada palopo haidir basir yang dipercayakan gerindra amin ya allah",positive
"tidak menyesal datang ke sini , meet naik dengan my senior tinggi school terbaik teman ! its jadi excited makanan nya rekomendasi green tea nya mantap ! setimpal sekali , hot chocolate nya banyak dan kerasa banget . suasana sunset yang bikin kita enjoy buat foto-foto terus pemandangan nya keren bikin kita betah banget buat staf . kita dapat pelayanan juga dari mbak della yang ramah , baik , sopan , memberi pilihan .",positive
"ingin merasakan sensasi makan malam di atas bukit dengan pemandangan kota bandung yang gemerlap layaknya barisan bintang ? the peak jawaban nya . resto mewah yang di konsep sangat eleghan ini cocok untuk makan malam romantis bagi pasangan , tetapi bisa juga untuk bersantai bersama sahabat atau keluarga . sayang nya makanan di resto ini tidak cukup beragam , dan memiliki rute harga yang tinggi namun terbayar dengan kualitas .",positive
"penasaran sudah lama mau ke sini , alhamdulillah kesampaian . perjuangan ke sini nya . saran : jika saat perjalanan ke sana hujan sangat disarankan putar balik ! kenapa ? karena jalanan setapak menuju ke sana masih belum aspal semua . jadi jika tidak mahir mengendarai mobil , agak ngeri juga karena tanah yang licin dan samping kanan / kiri jalan seperti jurang . tapi ketika sudah sampai , semua jadi terbayarkan .",positive
Gampang dipakai. Gampang dibawa-bawa. Packaging aman ??.,positive
"letak nya tidak jauh dari lembang lewat jalan kolonel masturi , untuk masuk kita harus bayar 10 ribu per orang dan 15 ribu per kendaraan . di dalam nya kita hanya dapat berbagai jenis makanan yang rasanya kurang enak dan harga nya cukup mahal . yang membuat tidak nyaman adalah keharusan beli kupon yang tidak dapat dikembalikan .",positive
"mengunjungi the valley , senin malam udara nya sejuk sekali , kalau ke sini malam-malam harus bawa jaket kalau tidak mau masuk angin . pemandangan nya bagus , harga makanan yang mahal tidak sebanding dengan rasanya . rasa makanan nya biasa saja , tidak ada yang istimewa . tempat makan nya agak gelap , jadi tidak bisa terlihat jelas makanan yang disajikan .",positive
"makan di sini sangat nyaman untuk obrolan bersama teman atau keluarga . selain itu bisa juga berjalan ke mal yang ada disebelah nya , bisa mencuci mata dan shopping tentunya",positive
salah satu tempat makan kesukaan kami . harga nya memang mahal sekali untuk ukuran bandung . tempat nya sangat nyaman dan romantis . makanan nya ada barat dan asia . paling enak sup zuppa nya dan kue-kue nya .,positive
tidak kasihan,positive
"lokasi nya bagus , banyak terdapat restoran sehingga banyak pilihan , makanan rasanya standar tapi sedikit mahal .",positive
"restoran yang mewah dengan cita rasa makanan yang biasa saja , mungkin perlu improvement di situ . selain itu pembayaran via debet card sempat bermasalah juga , perlu ada nya peningkatan pelayanan lagi",positive
"ini merupakan salah satu mi legendaris di bandung dan temap nya tidak banyak mengalami perubahan sampai saat ini , dengan bangunan tua seperti rumah biasa . saya suka mi yamin asin , mie nya lembut dan sepertinya home membuat . kuah kaldu nya gurih .",positive
Produk berjalan dengan lancar dna sangat membantu bila bepergian keluar negeri,positive
"halo kali ini saya akan mencoba makan siang di po ketiam , saya memesan berbagai macam dim sum , nasi campur , mi ayam , dan bakso . tidak ketinggalan minuman wajib china tea . makanan nya sangat enak dan lezat . tempat nya nyaman , tidak merokok area . saya sangat merasa puas sekali makan di sini . terima kasih .",positive
"bakso arip cukup terkenal di bandung , yang membuat terkenal adalah bakso goreng beraneka rasa yang bila dibilang cukup murah . namun jangan datang terlalu sore ke tempat ini karena biasanya bakso goreng nya sudah habis . karena orang biasanya membeli 10 bakso goreng sekaligus",positive
"Produknya bagus n sesuai dgn pesanan sya, seller mantul makasih skss selalu",positive
"10/10, kualitas produk sangat baik dengan harga yang tertera. nyaman dipakai, suara keras dan 7.1 berfungsi dengan baik. definitely would recommend this.",positive
"tempat nya enak , nyaman . variasi mie nya banyak dan porsi nya juga yang lumayan banyak . di sini kita bisa main banyak permainan seperti uno dan catur . pisang bakar nya enak .",positive
"restoran braga permai yang telah ada sejak zaman kolonial belanda , dulu dikenal dengan nama maison bogerijen . terletak di daerah kuliner braga , restoran ini tetap mempertahankan nuansa zaman kolonial tersebut . terus terang kami agak kesulitan memilih makanan karena semua tampak lezat . menu makanan terbagi atas braga heritages yang menampilkan menu appetizer belanda seperti bitter ballen , huzarensla , croquette .",positive
"kalau anda sampai di restoran the valley jangan lupa pesan steak iga sapi muda yang sangat luar biasa , harga nya 750 ribu per porsi tapi itu pantas untuk makanan yang enak dan nikmat nya seperti itu , saya betul betul menikmati nya",positive
pilihlah ayam kampung bakar dijamin makyuss enak . ditambah pesan tahun goreng nya yang renyah dijamin lidah bergoyang . harga nya cukup murah untuk sekelas rumah makan di pinggir jalan raya . jadi patut dicoba untuk mampir ke situ,positive
"pelayanan nya memuaskan , rasa dari makanan nya juga sesuai dengan harga nya . mbak dela yang melayani kami juga sangat ramah luar biasa sekali membawa desa",positive
"bakso malang nya dan kuah yang enak . ada batagor nya . sangat terkenal karena rasanya . tempat nya kecil , sempit dan agak pengap bagian dalam . kurang enak untuk berlama lama dan bersantai . lagipula bau dari batagor dan baso nya akan menempel di baju kita apabila berlama lama di sana .",positive
"di antara penyanyi rock yang ada , gue paling suka bryan adams .",positive
batagor riri menjadi salah satu icon wisata kuliner di bandung . tidak lengkap pergi ke bandung tanpa mampir mencicipi nikmat nya saus kacang yang melumuri batagor riri . harga batagor ini juga relatif terjangkau . cocok untuk jadi oleh-oleh wisata dari bandung .,positive
"kafe di sini pemandangan nya bagus , kafe nya berada dilantai atas , banyak terdapat karya art mahasiswa / dosen yang di pamerkan . karena terdapat ruang pameran art dan lukisan juga konter handicraft seperti cangkir , kaos , dan benda benda unik hasil karya tangan anak bandung dan lainnya . juara nya terdapat balkon yang menghadap panorama kota bandung . jadi konsep kafe nuansa alam di sana baik sekali .",positive
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",positive
salah satu hotel terbaik di bandung dengan lokasi hotel berada di lembah . pemandangan hotel restoran langsung menghadap pepohonan rindang nan asri dan sejuk . khusus jumat malam sabtu malam ada program khusus barbeque malam . berbagai menu barbeque asia di sajikan . rekomendasi !,positive
tidak ada yang istimewa dengan kafe ini . pesanan saya waktu itu 2 es kopi dan kentang goreng . kopi nya terlalu manis . parkir luas,positive
Pengiriman Cepat. Barang sesuai gambar. Kualitasnya oke. Recommended.,positive
"gimbal yang sangat cocok utk Iphone dan HP flagship yang sudah memiliki stabilisasi bagus. sehingga gimbal ini hanya penambah support supaya lbh stabil. samsung note 10+ berfungsi dengan baik. dengan catatan tdk boleh menggunakan casing. jika mau menggunakan casing, maka bantalan pad nya harus dilepas, bs dilihat pada foto. fungsi zoom berfungsi dengan baik, fungsi mode video ke kamera juga berfungsi dengan baik, ganti kamera depan dg belakang juga berfungsi dengan baik. cuma jika menggunakan HP murah (seperti xiaomi note 9), gambarnya lebih goyang ketimbang pake HP flagship. stabilisasi ketika tongkat tongsis dipanjangkan tidak direkomendasikan kalau digunakan sambil berjalan, hasilnya tidak terlalu stabil. bahkan jika tongsisnya dimajukan 1CM saja hasilnya sudah ga bgt stabil.",positive
Tidak menerawang. Mudah dibentuk. Nyaman dipakai. Jahitan rapi. Bahannya adem.,positive
"gerai minuman di foodcourt griya metro , pilihan minuman terbatas minuman botol , kotak , dan air mineral , harga standar food court 3000 - 5000 .",positive
"lotek kalipah apo adalah tempat favorit untuk mencicipi lotek . bayam , kangkung , tauge disiram bumbu kacang mirip gado gado ditambah krupuk dan lontong . ayam . tempat ini sudah ada sejak saya kecil . oh ya , sudah ada cabang nya juga di jakarta , di jalan batanghari sekitar jalan musi / cideng . selain lotek , tersedia juga kolak pisang , biji salak , sagu rangi dll.",positive
tidak amburadul,positive
"resto ini sudah ada sejak saya kecil , sebelum resto-resto lain menjamur khusus nya di bandung dan terutama di sekitar bengawan solo itu sendiri . tak heran jika tanda - nya : kelezatan yang digemari sejak 1964 . suasana nya hampir tidak berubah dengan deretan kursi , meja dan tidak seperti di kafe . suasana nya pun tidak terlalu ramai dan tidak hiruk pikuk sehingga bisa makan dengan santai .",positive
tempat nya asyik . tersedia permainan untuk anak-anak . tempat makan oke banget . hanya antre nya lama . harga makanan lumayan mahal . udara nya dingin ditemani oleh kabut dan hujan rintik-rintik .,positive
"bagus kuteknya dan pengiriman ,respon penjual okey ,nyesel pesan 1 next time order lagi thx",positive
kami sekeluarga mampir di parit sea makanan . pesan kepiting pedas ala chili crab sungapore enaklah juga pesan udang gala bakar dan gurame goreng . semuanya oke enak .,positive
"proses cepat.........!!!!!!!!!top ....,.,... seller responsif.............................",positive
ada 2 pilihan ruangan . ac dan non ac . saya kebetulan pilih yang per ac . menu nya banyak dari mi ayam . mi bakso . mi goreng . mie tek-tek . rasanya enak . porsi nya juga banyak . pelayanan nya bagus dan cepat . meja nya tertata rapi sampai toilet juga rapi dan wangi . beda dari tempat bakso yang lain . nyaman nge - mi di sini,positive
produk mantap packingnya bagus,positive
"makanan yang di sajikan di sini sangat beragam , kebanyakan sih makanan eropa , kita datang ke royal stag hanya untuk makan malam bersama teman teman , dan tempat nya lumayan nyaman , cocok untuk berkumpul , selain itu juga desain restoran nya sangat unik sekali , banyak tulang tulang dan patung patung tanduk rusa , dan itu membuat tambah nyaman .",positive
"bgs, cepat respon dan pengirimanny",positive
"menawarkan hidangan roti dimalam hari , boleh coba susu murni dan padanan roti keju atau stroberi . roti zaman dulu tapi rasa tetap enak dibanding roti-roti saat ini",positive
